"","ID","Long","Lat","Year","Month","Origin","Surface","Species","Abundance","Density","bathymetry","substrat","chl_mean","nppv_mean","o2_mean","o2_cv","o2_perc_25","temp_mean","temp_cv","temp_perc_90","sali_mean","sali_cv","sali_tresh_10","sali_perc_90","wave_mean"
"28","1996_4_3525_32",-1.3587,46.2537,1996,9,"NURSE",0.005916,"Merlangius merlangus",0,0,-12.1566667556763,"6",3.31174325942993,127.4970703125,105.29573059082,1.55325734615326,103.923812866211,18.9156017303467,13.413613319397,21.5973320007324,32.5228424072266,1.89611160755157,0,33.4234733581543,"2"
"29","1996_4_3526_33",-1.3325,46.258,1996,9,"NURSE",0.006228,"Merlangius merlangus",0,0,-9.46000003814697,"3",3.09366130828857,119.713119506836,104.951194763184,1.49435973167419,103.639472961426,18.8899631500244,13.2375202178955,21.5578060150146,32.7519073486328,1.80605673789978,0,33.656192779541,"2"
"30","1996_4_3527_34",-1.3053,46.2617,1996,9,"NURSE",0.006102,"Merlangius merlangus",0,0,-7.07999992370605,"6",3.10410761833191,120.141174316406,105.068435668945,1.52761077880859,103.720008850098,19.0618858337402,13.4022579193115,21.7864055633545,32.5197219848633,1.73859000205994,0,33.3875923156738,"2"
"31","1996_4_3515_22",-1.2453,46.2492,1996,9,"NURSE",0.005208,"Merlangius merlangus",0,0,-2.71000003814697,"6",3.125,120.997268676758,105.302917480469,1.59411203861237,103.881072998047,19.4057235717773,13.7317276000977,22.2436008453369,32.0553588867188,1.60365831851959,0,32.850399017334,"2"
"32","1996_4_3516_23",-1.2128,46.2513,1996,9,"NURSE",0.005397,"Merlangius merlangus",2,3.70576246062627,-1.62472224235535,"6",3.125,120.997268676758,105.302917480469,1.59411203861237,103.881072998047,19.4057235717773,13.7317276000977,22.2436008453369,32.0553588867188,1.60365831851959,0,32.850399017334,"1"
"34","1996_4_3528_35",-1.2787,46.2187,1996,9,"NURSE",0.005577,"Merlangius merlangus",0,0,-4.44888877868652,"5",3.24864172935486,128.739944458008,105.211822509766,1.56200921535492,103.813545227051,19.1280155181885,13.3649997711182,21.8573150634766,32.4618377685547,1.76445460319519,0,33.325927734375,"2"
"35","1996_4_3514_21",-1.257,46.2268,1996,9,"NURSE",0.005244,"Merlangius merlangus",0,0,-2.88666653633118,"6",3.32613015174866,133.253234863281,105.342132568359,1.59583306312561,103.900581359863,19.2470378875732,13.4287376403809,22.0070667266846,32.3168067932129,1.74365413188934,0,33.1608009338379,"1"
"36","1996_4_3529_36",-1.2333,46.211,1996,9,"NURSE",0.005904,"Merlangius merlangus",0,0,-1.98000001907349,"6",3.35965156555176,135.2958984375,105.348663330078,1.59611999988556,103.903831481934,19.220588684082,13.3782396316528,21.967643737793,32.3603820800781,1.76698660850525,0,33.2125358581543,"1"
"37","1996_5_3544_10",-1.2892,46.0731,1996,9,"NURSE",0.004122,"Merlangius merlangus",0,0,-24.3600006103516,"4",3.8342456817627,118.515670776367,104.632743835449,1.24245083332062,103.605934143066,17.9628200531006,11.4498167037964,20.2108058929443,33.1622352600098,2.59519791603088,0,34.1668663024902,"3"
"38","1996_6_3576_73",-1.2327,46.082,1996,9,"NURSE",0.005613,"Merlangius merlangus",0,0,-11.9866666793823,"6",4.03401041030884,143.127014160156,105.479148864746,1.47775590419769,104.213256835938,18.4596576690674,11.9628772735596,20.8170757293701,33.0303192138672,2.50624990463257,0,34.0616645812988,"3"
"39","1996_6_3553_50",-1.2048,46.0966,1996,9,"NURSE",0.00555,"Merlangius merlangus",0,0,-9.0600004196167,"6",4.16853713989258,160.272735595703,105.988754272461,1.67096400260925,104.630180358887,18.7258682250977,12.2303953170776,21.185941696167,32.9410820007324,2.46822929382324,0,33.9957313537598,"3"
"40","1996_6_3562_59",-1.1627,46.0779,1996,9,"NURSE",0.00594,"Merlangius merlangus",0,0,-6.30000019073486,"6",4.30306005477905,177.418029785156,106.498344421387,1.86416733264923,105.047088623047,18.992073059082,12.4979057312012,21.5548000335693,32.8518447875977,2.43020963668823,0,33.9297981262207,"2"
"41","1996_6_3560_57",-1.1452,46.0828,1996,9,"NURSE",0.005817,"Merlangius merlangus",0,0,-3.10249996185303,"6",4.30306005477905,177.418029785156,106.498344421387,1.86416733264923,105.047088623047,18.992073059082,12.4979057312012,21.5548000335693,32.8518447875977,2.43020963668823,0,33.9297981262207,"2"
"42","1996_6_3574_71",-1.2962,46.0442,1996,9,"NURSE",0.005658,"Merlangius merlangus",0,0,-14.7322225570679,"5",3.76900887489319,111.050277709961,104.295936584473,1.20035767555237,103.415542602539,17.7321929931641,11.2042741775513,19.9734058380127,33.2049102783203,2.64612579345703,0,34.2061347961426,"3"
"43","1996_6_3586_83",-1.274,46.0482,1996,9,"NURSE",0.006516,"Merlangius merlangus",0,0,-16.3555564880371,"5",3.8342456817627,118.515670776367,104.632743835449,1.24245083332062,103.605934143066,17.9628200531006,11.4498167037964,20.2108058929443,33.1622352600098,2.59519791603088,0,34.1668663024902,"3"
"44","1996_6_3582_79",-1.2421,46.0483,1996,9,"NURSE",0.005559,"Merlangius merlangus",8,14.3910775319302,-15.8066663742065,"4",3.89948344230652,125.98127746582,104.969543457031,1.28454780578613,103.796333312988,18.1934471130371,11.6953592300415,20.4482097625732,33.119556427002,2.54427194595337,0,34.1276016235352,"3"
"45","1996_5_3546_12",-1.2332,46.0532,1996,9,"NURSE",0.005394,"Merlangius merlangus",12,22.2469410456062,-11.9633331298828,"6",4.00160837173462,142.397796630859,105.411926269531,1.48085689544678,104.149261474609,18.4649658203125,11.9429988861084,20.8075866699219,33.0328636169434,2.56414079666138,0,34.0775566101074,"3"
"46","1996_6_3558_55",-1.1837,46.0458,1996,9,"NURSE",0.005679,"Merlangius merlangus",0,0,-8.26444435119629,"6",4.1037335395813,158.814315795898,105.854301452637,1.67716598510742,104.50218963623,18.7364864349365,12.1906385421753,21.1669654846191,32.9461708068848,2.58400964736938,0,34.0275115966797,"3"
"47","1996_6_3563_60",-1.1668,46.0623,1996,9,"NURSE",0.005718,"Merlangius merlangus",1,1.74886323889472,-6.5533332824707,"6",4.20585536956787,175.230407714844,106.296669006348,1.87347030639648,104.855102539062,19.007999420166,12.4382724761963,21.5263328552246,32.8594779968262,2.60387873649597,0,33.977466583252,"2"
"48","1996_6_3559_56",-1.1291,46.0647,1996,9,"NURSE",0.006066,"Merlangius merlangus",2,3.29706561160567,-3.76444435119629,"6",4.18965482711792,174.865814208984,106.263061523438,1.87502074241638,104.823104858398,19.0106544494629,12.4283332824707,21.5215892791748,32.8607482910156,2.63282346725464,0,33.9854125976562,"2"
"49","1996_6_3573_70",-1.279,46.0195,1996,9,"NURSE",0.005565,"Merlangius merlangus",0,0,-8.22000026702881,"6",3.8342456817627,118.515670776367,104.632743835449,1.24245083332062,103.605934143066,17.9628200531006,11.4498167037964,20.2108058929443,33.1622352600098,2.59519791603088,0,34.1668663024902,"3"
"50","1996_6_3572_69",-1.2608,46.0168,1996,9,"NURSE",0.005853,"Merlangius merlangus",0,0,-8.45333290100098,"5",3.8994824886322,125.981262207031,104.969543457031,1.28454792499542,103.796333312988,18.1934471130371,11.6953592300415,20.4482097625732,33.119556427002,2.54427337646484,0,34.1276016235352,"3"
"51","1996_6_3578_75",-1.2348,46.0383,1996,9,"NURSE",0.005631,"Merlangius merlangus",198,351.624933404369,-12.1199998855591,"6",3.9692063331604,141.668579101562,105.344696044922,1.48395788669586,104.085266113281,18.4702758789062,11.9231214523315,20.7980976104736,33.0354080200195,2.62203168869019,0,34.0934448242188,"3"
"52","1996_5_3548_14",-1.2026,46.0216,1996,9,"NURSE",0.005046,"Merlangius merlangus",17,33.6900515259612,-8.26839160919189,"6",4.03892993927002,157.355880737305,105.719856262207,1.68336796760559,104.374198913574,18.7471046447754,12.1508827209473,21.1479873657227,32.9512557983398,2.69979023933411,0,34.0592880249023,"2"
"53","1996_6_3557_54",-1.1566,46.035,1996,9,"NURSE",0.006138,"Merlangius merlangus",0,0,-4.38112115859985,"6",4.10865259170532,173.042816162109,106.095001220703,1.88277304172516,104.663124084473,19.0239276885986,12.3786392211914,21.4978675842285,32.8671073913574,2.77754592895508,0,34.0251350402832,"2"
"54","1996_6_3556_53",-1.1377,46.0263,1996,9,"NURSE",0.005667,"Merlangius merlangus",1,1.76460208223046,-3.59198236465454,"6",4.12485313415527,173.407409667969,106.128608703613,1.88122260570526,104.695121765137,19.0212726593018,12.388578414917,21.5026111602783,32.865837097168,2.74860119819641,0,34.0171890258789,"2"
"55","1996_6_3571_68",-1.2228,45.9877,1996,9,"NURSE",0.002019,"Merlangius merlangus",0,0,-7.63499975204468,"5",3.9368040561676,140.939346313477,105.277473449707,1.48705899715424,104.021270751953,18.4755840301514,11.9032430648804,20.7886085510254,33.0379524230957,2.67992258071899,0,34.1093368530273,"2"
"56","1996_5_3552_18",-1.1993,46.0095,1996,9,"NURSE",0.005676,"Merlangius merlangus",70,123.326286116984,-9.40647029876709,"6",3.97412657737732,155.8974609375,105.585403442383,1.68957006931305,104.246208190918,18.7577228546143,12.1111268997192,21.1290092468262,32.9563446044922,2.81557059288025,0,34.0910682678223,"2"
"57","1996_5_3549_15",-1.1772,46.0003,1996,9,"NURSE",0.005592,"Merlangius merlangus",27,48.2832618025751,-4.73850250244141,"6",4.01144933700562,170.855224609375,105.893325805664,1.89207589626312,104.471138000488,19.0398540496826,12.3190069198608,21.4694004058838,32.8747406005859,2.95121288299561,0,34.0728034973145,"2"
"58","1996_6_3561_58",-1.1495,45.9938,1996,9,"NURSE",0.005844,"Merlangius merlangus",2,3.42231348391513,-1.77303028106689,"6",4.06005096435547,171.949020385742,105.994163513184,1.88742446899414,104.56713104248,19.0318908691406,12.3488235473633,21.4836349487305,32.8709259033203,2.8643786907196,0,34.0489692687988,"2"
"59","1996_5_3550_16",-1.1789,45.972,1996,9,"NURSE",0.006132,"Merlangius merlangus",2,3.26157860404436,-5.09999990463257,"6",4.01144790649414,170.855194091797,105.893325805664,1.89207601547241,104.471138000488,19.0398540496826,12.3190059661865,21.4694004058838,32.8747406005859,2.95121502876282,0,34.0728034973145,"1"
